player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Matthieu Chalmé,Right-Back,1980-10-07,27,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Alou Diarra,Defensive Midfield,1981-07-15,26,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Wendel,Defensive Midfield,1982-04-08,26,Brazil,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Fernando,Defensive Midfield,1981-05-03,27,Brazil,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Pierre Ducasse,Defensive Midfield,1987-05-07,21,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Grégory Sertic,Defensive Midfield,1989-08-05,18,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Abdou Traoré,Central Midfield,1988-01-17,20,Mali,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Yoann Gourcuff,Attacking Midfield,1986-07-11,21,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Jussiê,Attacking Midfield,1983-09-19,24,Brazil,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Henri Saivet,Attacking Midfield,1990-10-26,17,Senegal,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Yoan Gouffran,Left Winger,1986-05-25,22,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Gabriel Obertan,Right Winger,1989-02-26,19,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Fernando Cavenaghi,Centre-Forward,1983-09-21,24,Argentina,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
David Bellion,Centre-Forward,1982-11-27,25,France,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Marouane Chamakh,Centre-Forward,1984-01-10,24,Morocco,FC Girondins Bordeaux,Ligue 1,2008/2009,2008
Jérémie Janot,Goalkeeper,1977-10-11,30,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Jody Viviani,Goalkeeper,1982-01-25,26,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Pape Coulibaly,Goalkeeper,1988-03-02,20,Senegal,AS Saint-Étienne,Ligue 1,2008/2009,2008
Loïc Perrin,Centre-Back,1985-08-07,22,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Stathis Tavlaridis,Centre-Back,1980-01-25,28,Greece,AS Saint-Étienne,Ligue 1,2008/2009,2008
Moustapha Sall,Centre-Back,1985-11-30,22,Senegal,AS Saint-Étienne,Ligue 1,2008/2009,2008
Sylvain Monsoreau,Centre-Back,1981-03-20,27,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Cédric Varrault,Centre-Back,1980-01-30,28,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
