player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Denver Hume,Left-Back,1998-08-11,22,England,Sunderland AFC,League One,2020/2021,2020
Conor McLaughlin,Right-Back,1991-07-26,29,Northern Ireland,Sunderland AFC,League One,2020/2021,2020
Luke O'Nien,Right-Back,1994-11-21,25,England,Sunderland AFC,League One,2020/2021,2020
George Dobson,Defensive Midfield,1997-11-15,22,England,Sunderland AFC,League One,2020/2021,2020
Grant Leadbitter,Central Midfield,1986-01-07,34,England,Sunderland AFC,League One,2020/2021,2020
Josh Scowen,Central Midfield,1993-03-28,27,England,Sunderland AFC,League One,2020/2021,2020
Max Power,Central Midfield,1993-07-27,27,England,Sunderland AFC,League One,2020/2021,2020
Elliot Embleton,Central Midfield,1999-04-02,21,England,Sunderland AFC,League One,2020/2021,2020
Callum McFadzean,Left Midfield,1994-01-16,26,Scotland,Sunderland AFC,League One,2020/2021,2020
Aiden McGeady,Left Winger,1986-04-04,34,Ireland,Sunderland AFC,League One,2020/2021,2020
Aiden O'Brien,Left Winger,1993-10-04,27,Ireland,Sunderland AFC,League One,2020/2021,2020
Jack Diamond,Left Winger,2000-01-12,20,England,Sunderland AFC,League One,2020/2021,2020
Lynden Gooch,Right Winger,1995-12-24,24,United States,Sunderland AFC,League One,2020/2021,2020
Chris Maguire,Right Winger,1989-01-16,31,Scotland,Sunderland AFC,League One,2020/2021,2020
Will Grigg,Centre-Forward,1991-07-03,29,Northern Ireland,Sunderland AFC,League One,2020/2021,2020
Danny Graham,Centre-Forward,1985-08-12,35,England,Sunderland AFC,League One,2020/2021,2020
Charlie Wyke,Centre-Forward,1992-12-06,27,England,Sunderland AFC,League One,2020/2021,2020
Benjamin Mbunga Kimpioka,Centre-Forward,2000-02-21,20,Sweden,Sunderland AFC,League One,2020/2021,2020
Dejan Iliev,Goalkeeper,1995-02-25,25,North Macedonia,Shrewsbury Town,League One,2020/2021,2020
Harry Burgoyne,Goalkeeper,1996-12-28,23,England,Shrewsbury Town,League One,2020/2021,2020
Matija Sarkic,Goalkeeper,1997-07-23,23,Montenegro,Shrewsbury Town,League One,2020/2021,2020
Cameron Gregory,Goalkeeper,2000-01-20,20,England,Shrewsbury Town,League One,2020/2021,2020
Aaron Pierre,Centre-Back,1993-02-17,27,Grenada,Shrewsbury Town,League One,2020/2021,2020
Ethan Ebanks-Landell,Centre-Back,1992-12-12,27,England,Shrewsbury Town,League One,2020/2021,2020
Ro-Shaun Williams,Centre-Back,1998-09-03,22,England,Shrewsbury Town,League One,2020/2021,2020
Charlie Daniels,Left-Back,1986-09-07,34,England,Shrewsbury Town,League One,2020/2021,2020
Scott Golbourne,Left-Back,1988-02-29,32,England,Shrewsbury Town,League One,2020/2021,2020
Donald Love,Right-Back,1994-12-02,25,Scotland,Shrewsbury Town,League One,2020/2021,2020
Matthew Millar,Right-Back,1996-08-23,24,Australia,Shrewsbury Town,League One,2020/2021,2020
Ryan Sears,Right-Back,1998-12-30,21,England,Shrewsbury Town,League One,2020/2021,2020
Marlon Fossey,Right-Back,1998-09-09,22,United States,Shrewsbury Town,League One,2020/2021,2020
Brad Walker,Defensive Midfield,1995-04-25,25,England,Shrewsbury Town,League One,2020/2021,2020
Josh Vela,Central Midfield,1993-12-14,26,England,Shrewsbury Town,League One,2020/2021,2020
David Edwards,Central Midfield,1986-02-03,34,Wales,Shrewsbury Town,League One,2020/2021,2020
Jan Zamburek,Central Midfield,2001-02-13,19,Czech Republic,Shrewsbury Town,League One,2020/2021,2020
Sean Goss,Central Midfield,1995-10-01,25,England,Shrewsbury Town,League One,2020/2021,2020
Ollie Norburn,Central Midfield,1992-10-26,28,Grenada,Shrewsbury Town,League One,2020/2021,2020
Scott High,Central Midfield,2001-02-15,19,England,Shrewsbury Town,League One,2020/2021,2020
James Rowland,Central Midfield,2001-12-03,18,England,Shrewsbury Town,League One,2020/2021,2020
Joshua Daniels,Left Midfield,1996-02-22,24,Ireland,Shrewsbury Town,League One,2020/2021,2020
Ryan Barnett,Attacking Midfield,1999-09-23,21,England,Shrewsbury Town,League One,2020/2021,2020
Marc Pugh,Left Winger,1987-04-02,33,England,Shrewsbury Town,League One,2020/2021,2020
Shaun Whalley,Right Winger,1987-08-07,33,England,Shrewsbury Town,League One,2020/2021,2020
Shilow Tracey,Right Winger,1998-04-29,22,England,Shrewsbury Town,League One,2020/2021,2020
Jason Cummings,Centre-Forward,1995-08-01,25,Scotland,Shrewsbury Town,League One,2020/2021,2020
Leon Clarke,Centre-Forward,1985-02-10,35,England,Shrewsbury Town,League One,2020/2021,2020
Daniel Udoh,Centre-Forward,1996-08-30,24,Nigeria,Shrewsbury Town,League One,2020/2021,2020
Rekeil Pyke,Centre-Forward,1997-09-01,23,England,Shrewsbury Town,League One,2020/2021,2020
Ben Amos,Goalkeeper,1990-04-10,30,England,Charlton Athletic,League One,2020/2021,2020
Ashley Maynard-Brewer,Goalkeeper,1999-06-25,21,Australia,Charlton Athletic,League One,2020/2021,2020
Jason Pearce,Centre-Back,1987-12-06,32,England,Charlton Athletic,League One,2020/2021,2020
Adedeji Oshilaja,Centre-Back,1993-03-02,27,England,Charlton Athletic,League One,2020/2021,2020
Ryan Inniss,Centre-Back,1995-06-05,25,England,Charlton Athletic,League One,2020/2021,2020
Akin Famewo,Centre-Back,1998-11-09,21,England,Charlton Athletic,League One,2020/2021,2020
Ben Purrington,Left-Back,1996-05-20,24,England,Charlton Athletic,League One,2020/2021,2020
Ian Maatsen,Left-Back,2002-03-10,18,Netherlands,Charlton Athletic,League One,2020/2021,2020
