shirt_number,position,name,date_of_birth,age,nationality,club_name,league_name
18,Central Midfield,Daniel Wass,1989-05-31,28,Denmark,Celta de Vigo,LaLiga
8,Central Midfield,Pablo Hernández,1986-10-24,31,Chile,Celta de Vigo,LaLiga
16,Central Midfield,Jozabed Sánchez,1991-03-08,26,Spain,Celta de Vigo,LaLiga
17,Central Midfield,Andrew Hjulsager,1995-01-15,22,Denmark,Celta de Vigo,LaLiga
11,Left Wing,Pione Sisto,1995-02-04,22,Denmark,Celta de Vigo,LaLiga
10,Right Wing,Iago Aspas,1987-08-01,30,Spain,Celta de Vigo,LaLiga
21,Right Wing,Emre Mor,1997-07-24,20,Turkey,Celta de Vigo,LaLiga
7,Centre-Forward,Maximiliano Gómez,1996-08-14,21,Uruguay,Celta de Vigo,LaLiga
13,Keeper,Antonio Adán,1987-05-13,30,Spain,Real Betis,LaLiga
1,Keeper,Dani Giménez,1983-07-30,34,Spain,Real Betis,LaLiga
23,Centre-Back,Aïssa Mandi,1991-10-22,26,Algeria,Real Betis,LaLiga
4,Centre-Back,Zouhair Feddal,1989-12-23,28,Morocco,Real Betis,LaLiga
5,Centre-Back,Jordi Amat,1992-03-21,25,Spain,Real Betis,LaLiga
14,Left-Back,Riza Durmisi,1994-01-08,24,Denmark,Real Betis,LaLiga
21,Left-Back,Alin Tosca,1992-03-14,25,Romania,Real Betis,LaLiga
19,Right-Back,Antonio Barragán,1987-06-12,30,Spain,Real Betis,LaLiga
2,Right-Back,Rafa Navarro,1994-02-23,23,Spain,Real Betis,LaLiga
18,Defensive Midfield,Andrés Guardado,1986-09-28,31,Mexico,Real Betis,LaLiga
3,Defensive Midfield,Javi García,1987-02-08,30,Spain,Real Betis,LaLiga
6,Central Midfield,Fabián Ruiz,1996-04-03,21,Spain,Real Betis,LaLiga
8,Central Midfield,Víctor Camarasa,1994-05-28,23,Spain,Real Betis,LaLiga
NA,Central Midfield,Felipe Gutiérrez,1990-10-08,27,Chile,Real Betis,LaLiga
10,Attacking Midfield,Ryad Boudebouz,1990-02-19,27,Algeria,Real Betis,LaLiga
29,Attacking Midfield,Juan Narváez,1995-02-12,22,Colombia,Real Betis,LaLiga
20,Left Wing,Cristian Tello,1991-08-11,26,Spain,Real Betis,LaLiga
12,Right Wing,Joel Campbell,1992-06-26,25,Costa Rica,Real Betis,LaLiga
11,Right Wing,Matías Nahuel,1996-11-22,21,Spain,Real Betis,LaLiga
17,Right Wing,Joaquín,1981-07-21,36,Spain,Real Betis,LaLiga
9,Centre-Forward,Antonio Sanabria,1996-03-04,21,Paraguay,Real Betis,LaLiga
7,Centre-Forward,Sergio León,1989-01-06,29,Spain,Real Betis,LaLiga
24,Centre-Forward,Rubén Castro,1981-06-27,36,Spain,Real Betis,LaLiga
1,Keeper,Pau López,1994-12-13,23,Spain,Espanyol,LaLiga
13,Keeper,Diego López,1981-11-03,36,Spain,Espanyol,LaLiga
15,Centre-Back,David López,1989-10-09,28,Spain,Espanyol,LaLiga
5,Centre-Back,Naldo,1988-08-25,29,Brazil,Espanyol,LaLiga
22,Centre-Back,Mario Hermoso,1995-06-18,22,Spain,Espanyol,LaLiga
6,Centre-Back,Óscar Duarte,1989-06-03,28,Costa Rica,Espanyol,LaLiga
24,Centre-Back,Sergio Sánchez,1986-04-03,31,Spain,Espanyol,LaLiga
3,Left-Back,Aarón Caricol,1997-04-22,20,Spain,Espanyol,LaLiga
12,Left-Back,Dídac Vilà,1989-06-09,28,Spain,Espanyol,LaLiga
2,Right-Back,Marc Navarro,1995-07-02,22,Spain,Espanyol,LaLiga
16,Right-Back,Javi López,1986-01-21,31,Spain,Espanyol,LaLiga
18,Defensive Midfield,Javi Fuego,1984-01-04,34,Spain,Espanyol,LaLiga
25,Central Midfield,Sergi Darder,1993-12-22,24,Spain,Espanyol,LaLiga
4,Central Midfield,Víctor Sánchez,1987-09-08,30,Spain,Espanyol,LaLiga
23,Central Midfield,Esteban Granero,1987-07-02,30,Spain,Espanyol,LaLiga
21,Central Midfield,Marc Roca,1996-11-26,21,Spain,Espanyol,LaLiga
10,Attacking Midfield,José Manuel Jurado,1986-06-29,31,Spain,Espanyol,LaLiga
14,Attacking Midfield,Oscar Melendo,1997-08-23,20,Spain,Espanyol,LaLiga
19,Left Wing,Pablo Piatti,1989-03-31,28,Argentina,Espanyol,LaLiga
17,Right Wing,Hernán Pérez,1989-02-25,28,Paraguay,Espanyol,LaLiga
7,Centre-Forward,Gerard Moreno,1992-04-07,25,Spain,Espanyol,LaLiga
11,Centre-Forward,Leo Baptistão,1992-08-26,25,Brazil,Espanyol,LaLiga
9,Centre-Forward,Sergio García,1983-06-09,34,Spain,Espanyol,LaLiga
8,Centre-Forward,Álvaro Vázquez,1991-04-27,26,Spain,Espanyol,LaLiga
NA,Centre-Forward,Jairo Morillas,1993-07-02,24,Spain,Espanyol,LaLiga
13,Keeper,Rubén Martínez,1984-06-22,33,Spain,Dep. La Coruña,LaLiga
25,Keeper,Costel Pantilimon,1987-02-01,30,Romania,Dep. La Coruña,LaLiga
1,Keeper,Przemyslaw Tyton,1987-01-04,31,Poland,Dep. La Coruña,LaLiga
12,Centre-Back,Sidnei,1989-08-23,28,Brazil,Dep. La Coruña,LaLiga
24,Centre-Back,Fabian Schär,1991-12-20,26,Switzerland,Dep. La Coruña,LaLiga
6,Centre-Back,Raúl Albentosa,1988-09-07,29,Spain,Dep. La Coruña,LaLiga
16,Left-Back,Luisinho,1985-05-05,32,Portugal,Dep. La Coruña,LaLiga
3,Left-Back,Fernando Navarro,1982-06-25,35,Spain,Dep. La Coruña,LaLiga
2,Right-Back,Juanfran,1988-09-11,29,Spain,Dep. La Coruña,LaLiga
23,Right-Back,Gerard Valentín,1993-07-28,24,Spain,Dep. La Coruña,LaLiga
20,Defensive Midfield,Guilherme,1991-04-05,26,Brazil,Dep. La Coruña,LaLiga
22,Central Midfield,Celso Borges,1988-05-27,29,Costa Rica,Dep. La Coruña,LaLiga
17,Central Midfield,Federico Valverde,1998-07-22,19,Uruguay,Dep. La Coruña,LaLiga
5,Central Midfield,Pedro Mosquera,1988-04-21,29,Spain,Dep. La Coruña,LaLiga
8,Attacking Midfield,Emre Colak,1991-05-20,26,Turkey,Dep. La Coruña,LaLiga
18,Left Wing,Zakaria Bakkali,1996-01-26,21,Belgium,Dep. La Coruña,LaLiga
19,Left Wing,Borja Valle,1992-07-09,25,Spain,Dep. La Coruña,LaLiga
9,Right Wing,Federico Cartabia,1993-01-20,24,Argentina,Dep. La Coruña,LaLiga
11,Right Wing,Carles Gil,1992-11-22,25,Spain,Dep. La Coruña,LaLiga
21,Right Wing,Bruno Gama,1987-11-15,30,Portugal,Dep. La Coruña,LaLiga
7,Centre-Forward,Lucas Pérez,1988-09-10,29,Spain,Dep. La Coruña,LaLiga
10,Centre-Forward,Florin Andone,1993-04-11,24,Romania,Dep. La Coruña,LaLiga
15,Centre-Forward,Adrián López,1988-01-08,30,Spain,Dep. La Coruña,LaLiga
1,Keeper,Raúl Lizoain,1991-01-27,26,Spain,UD Las Palmas,LaLiga
13,Keeper,Leandro Chichizola,1990-03-27,27,Argentina,UD Las Palmas,LaLiga
3,Centre-Back,Mauricio Lemos,1995-12-28,22,Uruguay,UD Las Palmas,LaLiga
17,Centre-Back,Pedro Bigas,1990-05-15,27,Spain,UD Las Palmas,LaLiga
22,Centre-Back,Ximo Navarro,1990-01-23,27,Spain,UD Las Palmas,LaLiga
20,Centre-Back,Alejandro Gálvez,1989-06-06,28,Spain,UD Las Palmas,LaLiga
NA,Centre-Back,Aythami Artiles,1986-04-02,31,Spain,UD Las Palmas,LaLiga
5,Centre-Back,David García,1982-02-25,35,Spain,UD Las Palmas,LaLiga
23,Left-Back,Dani Castellano,1987-11-02,30,Spain,UD Las Palmas,LaLiga
15,Left-Back,Borja Herrera,1993-01-08,25,Spain,UD Las Palmas,LaLiga
12,Right-Back,Míchel,1990-02-15,27,Brazil,UD Las Palmas,LaLiga
2,Right-Back,David Simón,1988-12-16,29,Spain,UD Las Palmas,LaLiga
4,Defensive Midfield,Vicente Gómez,1988-08-31,29,Spain,UD Las Palmas,LaLiga
6,Defensive Midfield,Sergi Samper,1995-01-20,22,Spain,UD Las Palmas,LaLiga
18,Defensive Midfield,Javi Castellano,1987-11-02,30,Spain,UD Las Palmas,LaLiga
7,Central Midfield,Gabriel Peñalba,1984-09-23,33,Argentina,UD Las Palmas,LaLiga
25,Central Midfield,Alberto Aquilani,1984-07-07,33,Italy,UD Las Palmas,LaLiga
14,Central Midfield,Hernán,1990-08-26,27,Spain,UD Las Palmas,LaLiga
21,Attacking Midfield,Jonathan Viera,1989-10-21,28,Spain,UD Las Palmas,LaLiga
24,Attacking Midfield,Tana,1990-09-20,27,Spain,UD Las Palmas,LaLiga
8,Attacking Midfield,Alen Halilovic,1996-06-18,21,Croatia,UD Las Palmas,LaLiga
16,Left Wing,Jairo Samperio,1993-07-11,24,Spain,UD Las Palmas,LaLiga
19,Left Wing,Hernán Toledo,1996-01-17,21,Argentina,UD Las Palmas,LaLiga
11,Left Wing,Momo,1982-07-15,35,Spain,UD Las Palmas,LaLiga
10,Right Wing,Oussama Tannane,1994-03-23,23,Morocco,UD Las Palmas,LaLiga
NA,Centre-Forward,Loïc Rémy,1987-01-02,31,France,UD Las Palmas,LaLiga
9,Centre-Forward,Jonathan Calleri,1993-09-23,24,Argentina,UD Las Palmas,LaLiga
13,Keeper,Bono,1991-04-05,26,Morocco,Girona FC,LaLiga
1,Keeper,Gorka Iraizoz,1981-03-06,36,Spain,Girona FC,LaLiga
2,Centre-Back,Bernardo Espinosa,1989-07-11,28,Colombia,Girona FC,LaLiga
20,Centre-Back,Marc Muniesa,1992-03-27,25,Spain,Girona FC,LaLiga
15,Centre-Back,Juanpe,1991-04-30,26,Spain,Girona FC,LaLiga
4,Centre-Back,Jonás Ramalho,1993-06-10,24,Spain,Girona FC,LaLiga
5,Centre-Back,Pedro Alcalá,1989-03-19,28,Spain,Girona FC,LaLiga
3,Left-Back,Johan Mojica,1992-08-21,25,Colombia,Girona FC,LaLiga
11,Left-Back,Aday,1987-12-16,30,Spain,Girona FC,LaLiga
21,Left-Back,Carles Planas,1991-03-04,26,Spain,Girona FC,LaLiga
25,Right-Back,Pablo Maffeo,1997-07-12,20,Spain,Girona FC,LaLiga
8,Defensive Midfield,Pere Pons,1993-02-20,24,Spain,Girona FC,LaLiga
16,Defensive Midfield,David Timor,1989-10-17,28,Spain,Girona FC,LaLiga
23,Defensive Midfield,Aleix García,1997-06-28,20,Spain,Girona FC,LaLiga
12,Central Midfield,Douglas Luiz,1998-05-09,19,Brazil,Girona FC,LaLiga
6,Central Midfield,Álex Granell,1988-08-02,29,Spain,Girona FC,LaLiga
9,Attacking Midfield,Portu,1992-05-21,25,Spain,Girona FC,LaLiga
24,Attacking Midfield,Borja García,1990-11-02,27,Spain,Girona FC,LaLiga
19,Attacking Midfield,Farid Boulaya,1993-02-25,24,Algeria,Girona FC,LaLiga
10,Attacking Midfield,Eloi Amagat,1985-05-21,32,Spain,Girona FC,LaLiga
17,Left Wing,Marlos Moreno,1996-09-20,21,Colombia,Girona FC,LaLiga
7,Centre-Forward,Cristhian Stuani,1986-10-12,31,Uruguay,Girona FC,LaLiga
18,Centre-Forward,Olarenwaju Kayode,1993-05-08,24,Nigeria,Girona FC,LaLiga
14,Centre-Forward,Michael Olunga,1994-03-26,23,Kenya,Girona FC,LaLiga
NA,Centre-Forward,Fran Sandaza,1984-11-30,33,Spain,Girona FC,LaLiga
25,Keeper,Marko Dmitrovic,1992-01-24,25,Serbia,SD Eibar,LaLiga
1,Keeper,Yoel Rodríguez,1988-08-28,29,Spain,SD Eibar,LaLiga
13,Keeper,Asier Riesgo,1983-10-06,34,Spain,SD Eibar,LaLiga
12,Centre-Back,Paulo Oliveira,1992-01-08,26,Portugal,SD Eibar,LaLiga
22,Centre-Back,David Lombán,1987-06-05,30,Spain,SD Eibar,LaLiga
4,Centre-Back,Iván Ramis,1984-10-25,33,Spain,SD Eibar,LaLiga
15,Left-Back,José Ángel,1989-09-05,28,Spain,SD Eibar,LaLiga
23,Left-Back,David Juncà,1993-11-16,24,Spain,SD Eibar,LaLiga
7,Right-Back,Ander Capa,1992-02-08,25,Spain,SD Eibar,LaLiga
18,Right-Back,Anaitz Arbilla,1987-05-15,30,Spain,SD Eibar,LaLiga
3,Defensive Midfield,Pape Diop,1986-03-19,31,Senegal,SD Eibar,LaLiga
6,Defensive Midfield,Cristian Rivera,1997-07-09,20,Spain,SD Eibar,LaLiga
14,Central Midfield,Dani García,1990-05-24,27,Spain,SD Eibar,LaLiga
24,Central Midfield,Joan Jordán,1994-07-06,23,Spain,SD Eibar,LaLiga
5,Central Midfield,Gonzalo Escalante,1993-03-27,24,Argentina,SD Eibar,LaLiga
16,Central Midfield,Fran Rico,1987-08-03,30,Spain,SD Eibar,LaLiga
8,Left Wing,Takashi Inui,1988-06-02,29,Japan,SD Eibar,LaLiga
10,Left Wing,Bebé,1990-07-12,27,Portugal,SD Eibar,LaLiga
21,Right Wing,Pedro León,1986-11-24,31,Spain,SD Eibar,LaLiga
2,Right Wing,Fabián Orellana,1986-01-27,31,Chile,SD Eibar,LaLiga
20,Right Wing,Iván Alejo,1995-02-10,22,Spain,SD Eibar,LaLiga
11,Right Wing,Rubén Peña,1991-07-18,26,Spain,SD Eibar,LaLiga
9,Centre-Forward,Sergi Enrich,1990-02-26,27,Spain,SD Eibar,LaLiga
17,Centre-Forward,Kike,1989-11-25,28,Spain,SD Eibar,LaLiga
19,Centre-Forward,Charles,1984-04-04,33,Brazil,SD Eibar,LaLiga
1,Keeper,Roberto,1986-02-10,31,Spain,Málaga CF,LaLiga
25,Keeper,Andrés Prieto,1993-10-17,24,Spain,Málaga CF,LaLiga
13,Keeper,Cenk Gönen,1988-02-21,29,Turkey,Málaga CF,LaLiga
4,Centre-Back,Luis Hernández,1989-04-14,28,Spain,Málaga CF,LaLiga
22,Centre-Back,Paul Baysse,1988-05-18,29,France,Málaga CF,LaLiga
3,Centre-Back,Diego González,1995-01-28,22,Spain,Málaga CF,LaLiga
2,Centre-Back,Ignasi Miquel,1992-09-28,25,Spain,Málaga CF,LaLiga
NA,Left-Back,Juankar,1990-03-30,27,Spain,Málaga CF,LaLiga
15,Left-Back,Federico Ricca,1994-12-01,23,Uruguay,Málaga CF,LaLiga
18,Right-Back,Roberto Rosales,1988-11-20,29,Venezuela,Málaga CF,LaLiga
23,Right-Back,Miguel Torres,1986-01-28,31,Spain,Málaga CF,LaLiga
12,Right-Back,Miguel Cifuentes,1990-10-05,27,Spain,Málaga CF,LaLiga
7,Defensive Midfield,Manuel Iturra,1984-06-23,33,Chile,Málaga CF,LaLiga
5,Defensive Midfield,Esteban Rolón,1995-03-25,22,Argentina,Málaga CF,LaLiga
14,Central Midfield,Recio,1991-01-11,26,Spain,Málaga CF,LaLiga
8,Central Midfield,Adrián González,1988-05-25,29,Spain,Málaga CF,LaLiga
6,Central Midfield,Zdravko Kuzmanović,1987-09-22,30,Serbia,Málaga CF,LaLiga
10,Attacking Midfield,Juanpi Añor,1994-01-24,23,Venezuela,Málaga CF,LaLiga
11,Left Wing,Chory Castro,1984-09-14,33,Uruguay,Málaga CF,LaLiga
21,Left Wing,Jony,1991-07-09,26,Spain,Málaga CF,LaLiga
17,Right Wing,Javier Ontiveros,1997-09-09,20,Spain,Málaga CF,LaLiga
20,Right Wing,Keko,1991-12-27,26,Spain,Málaga CF,LaLiga
28,Right Wing,Álex Mula,1996-07-23,21,Spain,Málaga CF,LaLiga
19,Secondary Striker,Alberto Bueno,1988-03-20,29,Spain,Málaga CF,LaLiga
24,Centre-Forward,Diego Rolán,1993-03-24,24,Uruguay,Málaga CF,LaLiga
9,Centre-Forward,Borja Bastón,1992-08-25,25,Spain,Málaga CF,LaLiga
16,Centre-Forward,Adalberto Peñaranda,1997-05-31,20,Venezuela,Málaga CF,LaLiga
26,Centre-Forward,Youssef En-Nesyri,1997-06-01,20,Morocco,Málaga CF,LaLiga
1,Keeper,Fernando Pacheco,1992-05-18,25,Spain,Alavés,LaLiga
13,Keeper,Antonio Sivera,1996-08-11,21,Spain,Alavés,LaLiga
12,Centre-Back,Rodrigo Ely,1993-11-03,24,Brazil,Alavés,LaLiga
4,Centre-Back,Alexis,1985-08-04,32,Spain,Alavés,LaLiga
5,Centre-Back,Víctor Laguardia,1989-11-05,28,Spain,Alavés,LaLiga
6,Centre-Back,Guillermo Maripán,1994-05-06,23,Chile,Alavés,LaLiga
3,Left-Back,Rubén Duarte,1995-10-18,22,Spain,Alavés,LaLiga
20,Left-Back,Héctor Hernández,1991-05-23,26,Spain,Alavés,LaLiga
2,Right-Back,Carlos Vigaray,1994-09-07,23,Spain,Alavés,LaLiga
32,Right-Back,Martin Aguirregabiria,1996-05-10,21,Spain,Alavés,LaLiga
19,Defensive Midfield,Manu García,1986-04-26,31,Spain,Alavés,LaLiga
16,Defensive Midfield,Daniel Torres,1989-11-15,28,Colombia,Alavés,LaLiga
23,Central Midfield,Álvaro Medrán,1994-03-15,23,Spain,Alavés,LaLiga
18,Central Midfield,Tomás Pina,1987-10-14,30,Spain,Alavés,LaLiga
22,Central Midfield,Mubarak Wakaso,1990-07-25,27,Ghana,Alavés,LaLiga
17,Left Wing,Alfonso Pedraza,1996-04-09,21,Spain,Alavés,LaLiga
11,Left Wing,Ibai Gómez,1989-11-11,28,Spain,Alavés,LaLiga
14,Left Wing,Burgui,1993-10-29,24,Spain,Alavés,LaLiga
8,Right Wing,Aleksandar Katai,1991-02-06,26,Serbia,Alavés,LaLiga
15,Secondary Striker,Bojan Krkic,1990-08-28,27,Spain,Alavés,LaLiga
24,Centre-Forward,Munir El Haddadi,1995-09-01,22,Spain,Alavés,LaLiga
NA,Centre-Forward,John Guidetti,1992-04-15,25,Sweden,Alavés,LaLiga
9,Centre-Forward,Christian Santos,1988-03-24,29,Venezuela,Alavés,LaLiga
7,Centre-Forward,Rubén Sobrino,1992-02-16,25,Spain,Alavés,LaLiga
NA,Keeper,Jon Ander Serantes,1989-01-04,29,Spain,CD Leganés,LaLiga
1,Keeper,Iván Cuéllar,1984-05-25,33,Spain,CD Leganés,LaLiga
13,Keeper,Nereo Champagne,1985-01-20,32,Argentina,CD Leganés,LaLiga
22,Centre-Back,Dimitrios Siovas,1988-09-16,29,Greece,CD Leganés,LaLiga
19,Centre-Back,Ezequiel Muñoz,1990-10-08,27,Argentina,CD Leganés,LaLiga
16,Centre-Back,Mauro dos Santos,1989-07-07,28,Argentina,CD Leganés,LaLiga
5,Centre-Back,Martín Mantovani,1984-07-07,33,Argentina,CD Leganés,LaLiga
15,Left-Back,Diego Rico,1993-02-23,24,Spain,CD Leganés,LaLiga
14,Left-Back,Raúl García,1989-04-30,28,Spain,CD Leganés,LaLiga
20,Right-Back,Joseba Zaldua,1992-06-24,25,Spain,CD Leganés,LaLiga
2,Right-Back,Tito,1985-07-11,32,Spain,CD Leganés,LaLiga
3,Right-Back,Unai Bustinza,1992-02-02,25,Spain,CD Leganés,LaLiga
21,Defensive Midfield,Rubén Pérez,1989-04-26,28,Spain,CD Leganés,LaLiga
24,Central Midfield,Darko Brasanac,1992-02-12,25,Serbia,CD Leganés,LaLiga
6,Central Midfield,Gerard Gumbau,1994-12-18,23,Spain,CD Leganés,LaLiga
8,Attacking Midfield,Gabriel,1993-09-18,24,Brazil,CD Leganés,LaLiga
17,Attacking Midfield,Javi Eraso,1990-03-22,27,Spain,CD Leganés,LaLiga
11,Left Wing,Alexander Szymanowski,1988-10-13,29,Argentina,CD Leganés,LaLiga
18,Left Wing,José Naranjo,1994-07-28,23,Spain,CD Leganés,LaLiga
25,Right Wing,Nordin Amrabat,1987-03-31,30,Morocco,CD Leganés,LaLiga
10,Right Wing,Nabil El Zhar,1986-08-27,31,Morocco,CD Leganés,LaLiga
23,Right Wing,Omar,1988-01-26,29,Spain,CD Leganés,LaLiga
12,Centre-Forward,Claudio Beauvue,1988-04-16,29,Guadeloupe,CD Leganés,LaLiga
9,Centre-Forward,Miguel Ángel Guerrero,1990-07-12,27,Spain,CD Leganés,LaLiga
13,Keeper,Vicente Guaita,1987-01-10,31,Spain,Getafe CF,LaLiga
1,Keeper,Emiliano Martínez,1992-09-02,25,Argentina,Getafe CF,LaLiga
25,Keeper,Filip Manojlovic,1996-04-25,21,Serbia,Getafe CF,LaLiga
2,Centre-Back,Djené,1991-12-31,26,Togo,Getafe CF,LaLiga
16,Centre-Back,Cala,1989-11-26,28,Spain,Getafe CF,LaLiga
4,Centre-Back,Bruno González,1990-05-24,27,Spain,Getafe CF,LaLiga
6,Centre-Back,Nicolás Gorosito,1988-08-17,29,Argentina,Getafe CF,LaLiga
3,Left-Back,Vitorino Antunes,1987-04-01,30,Portugal,Getafe CF,LaLiga
17,Left-Back,Mathí­as Olivera,1997-10-31,20,Uruguay,Getafe CF,LaLiga
22,Right-Back,Damián Suárez,1988-04-27,29,Uruguay,Getafe CF,LaLiga
15,Right-Back,Francisco Molinero,1985-07-26,32,Spain,Getafe CF,LaLiga
5,Defensive Midfield,Markel Bergara,1986-05-05,31,Spain,Getafe CF,LaLiga
8,Defensive Midfield,Mehdi Lacen,1984-05-15,33,Algeria,Getafe CF,LaLiga
18,Central Midfield,Mauro Arambarri,1995-09-30,22,Uruguay,Getafe CF,LaLiga
10,Central Midfield,Gaku Shibasaki,1992-05-28,25,Japan,Getafe CF,LaLiga
14,Central Midfield,Sergio Mora,1979-08-30,38,Spain,Getafe CF,LaLiga
21,Attacking Midfield,Fayçal Fajr,1988-08-01,29,Morocco,Getafe CF,LaLiga
12,Attacking Midfield,Francisco Portillo,1990-06-13,27,Spain,Getafe CF,LaLiga
23,Left Wing,Amath Ndiaye,1996-07-16,21,Senegal,Getafe CF,LaLiga
24,Left Wing,Jefferson Montero,1989-09-01,28,Ecuador,Getafe CF,LaLiga
20,Left Wing,Dani Pacheco,1991-01-05,27,Spain,Getafe CF,LaLiga
7,Right Wing,Álvaro Jiménez,1995-05-19,22,Spain,Getafe CF,LaLiga
9,Centre-Forward,Ángel Rodríguez,1987-04-26,30,Spain,Getafe CF,LaLiga
19,Centre-Forward,Jorge Molina,1982-04-22,35,Spain,Getafe CF,LaLiga
1,Keeper,Raúl Fernández,1988-03-13,29,Spain,Levante UD,LaLiga
13,Keeper,Oier Olazábal,1989-09-14,28,Spain,Levante UD,LaLiga
25,Keeper,Mitchell Langerak,1988-08-22,29,Australia,Levante UD,LaLiga
6,Centre-Back,Chema,1992-03-03,25,Spain,Levante UD,LaLiga
15,Centre-Back,Sergio Postigo,1988-11-04,29,Spain,Levante UD,LaLiga
4,Centre-Back,Rober Pier,1995-02-16,22,Spain,Levante UD,LaLiga
18,Centre-Back,Erick Cabaco,1995-04-19,22,Uruguay,Levante UD,LaLiga
3,Left-Back,Toño,1989-11-07,28,Spain,Levante UD,LaLiga
22,Left-Back,Antonio Luna,1991-03-17,26,Spain,Levante UD,LaLiga
12,Right-Back,Coke,1987-04-26,30,Spain,Levante UD,LaLiga
2,Right-Back,Iván López,1993-08-23,24,Spain,Levante UD,LaLiga
26,Right-Back,Shaq Moore,1996-11-02,21,United States,Levante UD,LaLiga
19,Right-Back,Pedro López,1983-11-01,34,Spain,Levante UD,LaLiga
5,Defensive Midfield,Cheick Doukouré,1992-09-11,25,Cote d'Ivoire,Levante UD,LaLiga
8,Defensive Midfield,Jefferson Lerma,1994-10-25,23,Colombia,Levante UD,LaLiga
24,Central Midfield,José Campaña,1993-05-31,24,Spain,Levante UD,LaLiga
20,Central Midfield,Sasa Lukic,1996-08-13,21,Serbia,Levante UD,LaLiga
10,Attacking Midfield,Enis Bardhi,1995-07-02,22,Macedonia,Levante UD,LaLiga
11,Left Wing,José Luis Morales,1987-07-23,30,Spain,Levante UD,LaLiga
14,Left Wing,Ivi,1994-06-29,23,Spain,Levante UD,LaLiga
23,Right Wing,Jason,1994-07-06,23,Spain,Levante UD,LaLiga
7,Right Wing,Samu García,1990-07-13,27,Spain,Levante UD,LaLiga
9,Centre-Forward,Roger Martí,1991-01-03,27,Spain,Levante UD,LaLiga
21,Centre-Forward,Emmanuel Boateng,1996-05-23,21,Ghana,Levante UD,LaLiga
17,Centre-Forward,Alex Alegría,1992-10-14,25,Spain,Levante UD,LaLiga
16,Centre-Forward,Nano,1995-02-05,22,Spain,Levante UD,LaLiga
23,Keeper,Wojciech Szczesny,1990-04-18,27,Poland,Juventus,Serie A
1,Keeper,Gianluigi Buffon,1978-01-28,39,Italy,Juventus,Serie A
16,Keeper,Carlo Pinsoglio,1990-03-16,27,Italy,Juventus,Serie A
24,Centre-Back,Daniele Rugani,1994-07-29,23,Italy,Juventus,Serie A
4,Centre-Back,Medhi Benatia,1987-04-17,30,Morocco,Juventus,Serie A
21,Centre-Back,Benedikt Höwedes,1988-02-29,29,Germany,Juventus,Serie A
3,Centre-Back,Giorgio Chiellini,1984-08-14,33,Italy,Juventus,Serie A
15,Centre-Back,Andrea Barzagli,1981-05-08,36,Italy,Juventus,Serie A
12,Left-Back,Alex Sandro,1991-01-26,26,Brazil,Juventus,Serie A
2,Right-Back,Mattia De Sciglio,1992-10-20,25,Italy,Juventus,Serie A
26,Right-Back,Stephan Lichtsteiner,1984-01-16,33,Switzerland,Juventus,Serie A
5,Central Midfield,Miralem Pjanic,1990-04-02,27,Bosnia-Herzegovina,Juventus,Serie A
14,Central Midfield,Blaise Matuidi,1987-04-09,30,France,Juventus,Serie A
6,Central Midfield,Sami Khedira,1987-04-04,30,Germany,Juventus,Serie A
8,Central Midfield,Claudio Marchisio,1986-01-19,31,Italy,Juventus,Serie A
30,Central Midfield,Rodrigo Bentancur,1997-06-25,20,Uruguay,Juventus,Serie A
27,Central Midfield,Stefano Sturaro,1993-03-09,24,Italy,Juventus,Serie A
22,Left Midfield,Kwadwo Asamoah,1988-12-09,29,Ghana,Juventus,Serie A
11,Left Wing,Douglas Costa,1990-09-14,27,Brazil,Juventus,Serie A
33,Right Wing,Federico Bernardeschi,1994-02-16,23,Italy,Juventus,Serie A
7,Right Wing,Juan Cuadrado,1988-05-26,29,Colombia,Juventus,Serie A
10,Secondary Striker,Paulo Dybala,1993-11-15,24,Argentina,Juventus,Serie A
9,Centre-Forward,Gonzalo Higuaín,1987-12-10,30,Argentina,Juventus,Serie A
17,Centre-Forward,Mario Mandzukic,1986-05-21,31,Croatia,Juventus,Serie A
25,Keeper,Pepe Reina,1982-08-31,35,Spain,SSC Napoli,Serie A
22,Keeper,Luigi Sepe,1991-05-08,26,Italy,SSC Napoli,Serie A
1,Keeper,Rafael,1990-05-20,27,Brazil,SSC Napoli,Serie A
26,Centre-Back,Kalidou Koulibaly,1991-06-20,26,Senegal,SSC Napoli,Serie A
19,Centre-Back,Nikola Maksimovic,1991-11-25,26,Serbia,SSC Napoli,Serie A
33,Centre-Back,Raúl Albiol,1985-09-04,32,Spain,SSC Napoli,Serie A
21,Centre-Back,Vlad Chiriches,1989-11-14,28,Romania,SSC Napoli,Serie A
62,Centre-Back,Lorenzo Tonelli,1990-01-17,27,Italy,SSC Napoli,Serie A
31,Left-Back,Faouzi Ghoulam,1991-02-01,26,Algeria,SSC Napoli,Serie A
6,Left-Back,Mário Rui,1991-05-27,26,Portugal,SSC Napoli,Serie A
23,Right-Back,Elseid Hysaj,1994-02-02,23,Albania,SSC Napoli,Serie A
11,Right-Back,Christian Maggio,1982-02-11,35,Italy,SSC Napoli,Serie A
8,Defensive Midfield,Jorginho,1991-12-20,26,Italy,SSC Napoli,Serie A
42,Defensive Midfield,Amadou Diawara,1997-07-17,20,Guinea,SSC Napoli,Serie A
