player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Mark Howard,Goalkeeper,1986-09-21,32,England,Blackpool FC,League One,2019/2020,2019
Jak Alnwick,Goalkeeper,1993-06-17,26,England,Blackpool FC,League One,2019/2020,2019
Christoffer Mafoumbi,Goalkeeper,1994-03-03,25,Congo,Blackpool FC,League One,2019/2020,2019
Myles Boney,Goalkeeper,1998-02-01,21,England,Blackpool FC,League One,2019/2020,2019
Jack Sims,Goalkeeper,1999-03-10,20,England,Blackpool FC,League One,2019/2020,2019
Rocky Bushiri,Centre-Back,1999-11-30,19,Belgium,Blackpool FC,League One,2019/2020,2019
Taylor Moore,Centre-Back,1997-05-12,22,England,Blackpool FC,League One,2019/2020,2019
Ben Heneghan,Centre-Back,1993-09-19,25,England,Blackpool FC,League One,2019/2020,2019
Jordan Thorniley,Centre-Back,1996-11-24,22,England,Blackpool FC,League One,2019/2020,2019
Ryan Edwards,Centre-Back,1993-10-07,25,England,Blackpool FC,League One,2019/2020,2019
Curtis Tilt,Centre-Back,1991-08-04,27,England,Blackpool FC,League One,2019/2020,2019
Michael Nottingham,Centre-Back,1989-04-14,30,St. Kitts & Nevis,Blackpool FC,League One,2019/2020,2019
James Husband,Left-Back,1994-01-03,25,England,Blackpool FC,League One,2019/2020,2019
Marc Bola,Left-Back,1997-12-09,21,England,Blackpool FC,League One,2019/2020,2019
Nick Anderton,Left-Back,1996-04-22,23,England,Blackpool FC,League One,2019/2020,2019
Calum MacDonald,Left-Back,1997-12-18,21,Scotland,Blackpool FC,League One,2019/2020,2019
Teddy Howe,Right-Back,1998-10-09,20,England,Blackpool FC,League One,2019/2020,2019
Ollie Turton,Right-Back,1992-12-06,26,England,Blackpool FC,League One,2019/2020,2019
Ewan Bange,Midfielder,NA,NA,England,Blackpool FC,League One,2019/2020,2019
Jay Spearing,Defensive Midfield,1988-11-25,30,England,Blackpool FC,League One,2019/2020,2019
Kiernan Dewsbury-Hall,Defensive Midfield,1998-09-06,20,England,Blackpool FC,League One,2019/2020,2019
Matty Virtue,Defensive Midfield,1997-05-02,22,England,Blackpool FC,League One,2019/2020,2019
Connor Ronan,Central Midfield,1998-03-06,21,Ireland,Blackpool FC,League One,2019/2020,2019
Jordan Thompson,Central Midfield,1997-01-03,22,Northern Ireland,Blackpool FC,League One,2019/2020,2019
Callum Guy,Central Midfield,1996-11-25,22,England,Blackpool FC,League One,2019/2020,2019
Ben Garrity,Central Midfield,1997-02-21,22,England,Blackpool FC,League One,2019/2020,2019
Grant Ward,Right Midfield,1994-12-05,24,England,Blackpool FC,League One,2019/2020,2019
Harry Pritchard,Left Midfield,1993-04-23,26,England,Blackpool FC,League One,2019/2020,2019
Nathan Shaw,Left Midfield,2000-11-22,18,England,Blackpool FC,League One,2019/2020,2019
Jamie Devitt,Attacking Midfield,1990-07-06,28,Ireland,Blackpool FC,League One,2019/2020,2019
Tony Weston,Forward,2003-09-17,15,England,Blackpool FC,League One,2019/2020,2019
Sullay Kaikai,Left Winger,1995-08-26,23,England,Blackpool FC,League One,2019/2020,2019
Liam Feeney,Right Winger,1987-01-21,32,England,Blackpool FC,League One,2019/2020,2019
Sean Scannell,Right Winger,1990-09-17,28,Ireland,Blackpool FC,League One,2019/2020,2019
Gary Madine,Centre-Forward,1990-08-24,28,England,Blackpool FC,League One,2019/2020,2019
Ryan Hardie,Centre-Forward,1997-03-17,22,Scotland,Blackpool FC,League One,2019/2020,2019
Nathan Delfouneso,Centre-Forward,1991-02-02,28,England,Blackpool FC,League One,2019/2020,2019
Joe Nuttall,Centre-Forward,1997-01-27,22,England,Blackpool FC,League One,2019/2020,2019
Adi Yussuf,Centre-Forward,1992-02-20,27,Tanzania,Blackpool FC,League One,2019/2020,2019
Armand Gnanduillet,Centre-Forward,1992-02-13,27,Cote d'Ivoire,Blackpool FC,League One,2019/2020,2019
Ben Alnwick,Goalkeeper,1987-01-01,32,England,Bolton Wanderers,League One,2019/2020,2019
Remi Matthews,Goalkeeper,1994-02-10,25,England,Bolton Wanderers,League One,2019/2020,2019
Luke Hutchinson,Goalkeeper,2003-08-31,15,England,Bolton Wanderers,League One,2019/2020,2019
Matthew Alexander,Goalkeeper,2002-05-07,17,England,Bolton Wanderers,League One,2019/2020,2019
Toto Nsiala,Centre-Back,1992-03-25,27,DR Congo,Bolton Wanderers,League One,2019/2020,2019
Jack Hobbs,Centre-Back,1988-08-18,30,England,Bolton Wanderers,League One,2019/2020,2019
Kean Bryan,Centre-Back,1996-11-01,22,England,Bolton Wanderers,League One,2019/2020,2019
Jake Wright,Centre-Back,1986-03-11,33,England,Bolton Wanderers,League One,2019/2020,2019
Ryan Delaney,Centre-Back,1996-09-06,22,Ireland,Bolton Wanderers,League One,2019/2020,2019
Nathan Whalley,Centre-Back,2003-01-18,16,England,Bolton Wanderers,League One,2019/2020,2019
Jordan Boon,Centre-Back,2000-11-26,18,England,Bolton Wanderers,League One,2019/2020,2019
D'Neal Richards,Centre-Back,2002-03-01,17,England,Bolton Wanderers,League One,2019/2020,2019
Kwame Osigwe,Centre-Back,2002-01-11,17,England,Bolton Wanderers,League One,2019/2020,2019
Harry Brockbank,Centre-Back,1998-09-26,20,England,Bolton Wanderers,League One,2019/2020,2019
Liam Edwards,Centre-Back,1996-10-02,22,England,Bolton Wanderers,League One,2019/2020,2019
Yoan Zouma,Centre-Back,1998-05-06,21,France,Bolton Wanderers,League One,2019/2020,2019
Adam Senior,Centre-Back,2002-01-20,17,England,Bolton Wanderers,League One,2019/2020,2019
Josh Earl,Left-Back,1998-10-24,20,England,Bolton Wanderers,League One,2019/2020,2019
